,_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight,draft_pick_int,draft_round_int,draft_team_id,position_id,lifetime_profit,seasons_played,mean_season_profit,nind
4120,thompho01,"April 3, 1991","Pasadena, California",1.1,41.3,38.6,70.7,265,9.6,7.7,3.1,6.5,51.4,Georgetown University,,,,,6-8,"Loyola in Los Angeles, California",Hollis Thompson,Small Forward and Shooting Guard,Right,206lb,0,0,-1,16,2423952,4,605988.0,1889
4122,thompja02,"July 21, 1986","Camden, New Jersey",1.1,49.6,14.3,65.7,588,13.5,8.9,6.6,23.8,49.7,Rider University,12th overall,1st round,Sacramento Kings,2008,6-11,"Lenape in Medford, New Jersey",Jason Thompson,Power Forward and Center,Right,250lb,12,1,4,1,36161333,11,3287393.909090909,1890
4124,thompke01,"February 7, 1971","Winston-Salem, North Carolina",0.2,42.9,0.0,50.0,14,4.9,0.9,0.9,0.0,42.9,North Carolina State University,48th overall,2nd round,Portland Trail Blazers,1993,6-11,"Glenn in Winston-Salem, North Carolina",Kevin Thompson,Center,Right,260lb,48,2,0,2,156358,1,156358.0,1891
4125,thompkl01,"February 8, 1990","Los Angeles, California",2.3,45.9,41.9,84.8,615,16.4,19.5,3.5,46.8,55.1,Washington State University,11th overall,1st round,Golden State Warriors,2011,6-7,"Santa Margarita Catholic in Rancho Santa Margarita, California",Klay Thompson,Shooting Guard,Right,215lb,11,1,26,4,62330873,7,8904410.42857143,1892
4126,thompla01,"June 23, 1961","Cincinnati, Ohio",1.2,49.2,15.4,73.7,985,13.6,7.9,6.8,35.0,49.2,University of Texas at Austin,5th overall,1st round,Kansas City Kings,1982,6-10,"Withrow in Cincinnati, Ohio",LaSalle Thompson,Center,Right,245lb,5,1,56,2,13195103,11,1199554.8181818181,1893
4127,thompmy01,"January 30, 1955","Nassau, Bahamas",2.3,50.4,8.3,65.5,935,15.7,13.7,7.4,59.1,50.4,University of Minnesota,1st overall,1st round,Portland Trail Blazers,1978,6-10,"Jackson in Miami, Florida",Mychal Thompson,Center and Power Forward,Right,226lb,1,1,0,11,5515289,6,919214.8333333334,1894
4129,thomppa01,"May 25, 1961","Smyrna, Tennessee",1.5,43.2,21.0,79.2,154,13.7,8.9,3.5,4.9,43.8,Tulane University,50th overall,3rd round,Cleveland Cavaliers,1983,6-6,"Peabody in Alexandria, Louisiana",Paul Thompson,Small Forward,Right,210lb,5,3,35,9,182418,2,91209.0,1895
4131,thomptr01,"March 13, 1991","Toronto, Canada",0.9,51.9,0.0,61.0,562,15.4,9.2,8.6,40.0,51.9,University of Texas at Austin,4th overall,1st round,Cleveland Cavaliers,2011,6-10,"Findlay College Prep in Henderson, Nevada",Tristan Thompson,Power Forward and Center,Left Right,238lb,4,1,35,1,65591859,7,9370265.57142857,1896
4134,thornal01,"December 7, 1983","Perry, Georgia",1.2,45.2,29.3,74.7,296,12.3,11.9,4.2,6.1,46.5,Florida State University,14th overall,1st round,Los Angeles Clippers,2007,6-8,"Perry in Perry, Georgia",Al Thornton,Small Forward and Power Forward,Right,220lb,14,1,21,6,8488103,4,2122025.75,1897
4135,thornbo01,"July 10, 1962","Los Angeles, California",0.3,44.4,22.2,55.8,283,6.2,3.0,2.5,1.3,44.6,"University of California, Irvine",87th overall,4th round,New York Knicks,1984,6-10,"Mission Viejo in Mission Viejo, California",Bob Thornton,Power Forward,Right,225lb,8,4,11,0,1193536,6,198922.66666666666,1898
4137,thornma01,"June 5, 1987","Baton Rouge, Louisiana",1.4,42.5,35.8,83.0,483,15.5,11.9,2.8,20.0,49.8,Louisiana State University,43rd overall,2nd round,Miami Heat,2009,6-4,"Tara in Baton Rouge, Louisiana",Marcus Thornton,Shooting Guard,Right,205lb,43,2,18,4,36611529,9,4067947.6666666665,1899
4138,thornsi01,"November 15, 1994","Lancaster, South Carolina",0.6,41.5,34.2,68.9,137,7.6,2.5,1.3,1.0,46.1,University of South Carolina,48th overall,2nd round,Milwaukee Bucks,2017,6-5,"Oak Hill Academy in Mouth of Wilson, Virginia",Sindarius Thornwell,Shooting Guard,Right,215lb,48,2,2,4,850189,1,850189.0,1900
4139,thorpot01,"August 5, 1962","Boynton Beach, Florida",2.2,54.6,4.7,68.7,1257,16.0,14.0,8.2,106.4,54.6,Providence College,9th overall,1st round,Kansas City Kings,1984,6-9,"Lake Worth Community in Lake Worth, Florida",Otis Thorpe,Center and Power Forward,Right,225lb,9,1,56,11,39205789,16,2450361.8125,1901
4140,threase01,"September 10, 1961","Atlanta, Georgia",3.8,48.5,29.3,81.5,951,14.7,9.8,1.8,48.0,49.6,West Virginia University Institute of Technology,139th overall,6th round,Philadelphia 76ers,1983,6-2,"Therrell in Atlanta, Georgia",Sedale Threatt,Point Guard and Shooting Guard,Right,175lb,13,6,31,14,10417655,10,1041765.5,1902
4148,tinslja01,"February 28, 1978","Brooklyn, New York",6.1,39.3,29.9,71.6,547,13.6,8.5,2.9,17.2,43.7,Iowa State University,27th overall,1st round,Memphis Grizzlies,2001,6-3,"Samuel J. Tilden in Brooklyn, New York",Jamaal Tinsley,Point Guard,Right,195lb,27,1,17,3,41654688,11,3786789.8181818184,1903
4149,tisdawa01,"June 9, 1964","Tulsa, Oklahoma",1.3,50.5,0.0,76.0,840,15.7,15.3,6.1,45.7,50.5,University of Oklahoma,2nd overall,1st round,Indiana Pacers,1985,6-9,"Booker T. Washington in Tulsa, Oklahoma",Wayman Tisdale,Power Forward,Left,240lb,2,1,37,0,23574715,11,2143155.909090909,1904
4152,tolbera01,"September 10, 1958","Anderson, Indiana",0.5,49.5,0.0,54.4,261,9.8,3.6,2.3,2.9,49.5,Indiana University,18th overall,1st round,New Jersey Nets,1981,6-9,"Madison Heights in Anderson, Indiana",Ray Tolbert,Power Forward,Right,225lb,18,1,16,0,104239,1,104239.0,1905
4153,tolbeto01,"October 16, 1965","Long Beach, California",0.9,46.0,29.6,71.6,312,10.5,6.5,4.0,6.6,46.8,"University of California, Irvine, University of Arizona",34th overall,2nd round,Charlotte Hornets,1988,6-7,"Artesia HS in Lakewood, California",Tom Tolbert,Power Forward and Small Forward,Right,235lb,34,2,55,10,2753996,6,458999.3333333333,1906
4154,tollian01,"June 1, 1985","Springfield, Missouri",0.9,41.8,37.6,77.2,664,11.2,6.4,3.4,25.4,54.0,Creighton University,,,,,6-8,"Kickapoo in Springfield, Missouri",Anthony Tolliver,Power Forward and Small Forward,Right,250lb,0,0,-1,10,27214807,13,2093446.6923076923,1907
4157,toneyan01,"November 23, 1957","Birmingham, Alabama",4.2,50.0,34.2,79.7,468,16.1,15.9,2.2,26.9,51.2,University of Louisiana at Lafayette,8th overall,1st round,Philadelphia 76ers,1980,6-3,"Glenn in Birmingham, Alabama",Andrew Toney,Shooting Guard,Right,178lb,8,1,31,4,3002084,5,600416.8,1908
4158,toneyse01,"April 13, 1962","Columbus, Mississippi",2.1,36.5,34.1,78.1,112,7.8,3.7,0.9,0.0,40.6,University of Dayton,59th overall,3rd round,Atlanta Hawks,1985,6-2,"Wilbur Wright in Dayton, Ohio",Sedric Toney,Point Guard,Right,178lb,5,3,34,3,234537,2,117268.5,1909
4160,toolsan01,"January 19, 1966","Chicago, Illinois",0.5,39.7,34.1,75.7,60,8.0,2.7,1.2,0.6,44.9,Brigham Young University,,,,,6-6,"Twin Falls in Twin Falls, Idaho",Andy Toolson,Small Forward,Right,210lb,0,0,-1,9,708824,3,236274.66666666666,1910
4165,torreos01,"December 18, 1976","Caracas, Venezuela",0.5,40.1,31.7,76.8,82,11.7,5.4,1.6,1.1,45.9,,,,,,6-6,,Oscar Torres,Shooting Guard,Right,210lb,0,0,-1,4,522806,2,261403.0,1911
4168,toupaax01,"July 23, 1992","Mulhouse, France",0.6,38.0,31.8,76.5,25,7.0,3.5,1.3,0.4,46.8,,,,,,6-7,,Axel Toupane,Small Forward,Right,197lb,0,0,-1,9,255988,5,51197.6,1912
4170,towerke01,"May 15, 1970","Libby, Montana",0.1,42.9,0.0,55.6,53,5.9,1.8,1.3,0.0,42.9,University of Notre Dame,,,,,6-11,"Moon in Coraopolis, Pennsylvania",Keith Tower,Center,Right,250lb,0,0,-1,2,301579,2,150789.5,1913
4173,townska01,"November 15, 1995","Edison, New Jersey",2.6,53.7,39.2,83.6,323,25.0,22.3,11.9,45.4,57.5,University of Kentucky,1st overall,1st round,Minnesota Timberwolves,2015,7-0,"St. Joseph in Metuchen, New Jersey",Karl-Anthony Towns,Center,Right,248lb,1,1,30,2,18638580,3,6212860.0,1914
4177,traylro01,"February 1, 1977","Detroit, Michigan",0.7,47.4,16.7,57.7,438,14.5,4.8,3.7,13.3,47.5,University of Michigan,6th overall,1st round,Dallas Mavericks,1998,6-8,"Murray-Wright in Detroit, Michigan",Robert Traylor,Power Forward and Center,Right,284lb,6,1,12,1,12322006,7,1760286.5714285714,1915
4178,trentga01,"September 22, 1974","Columbus, Ohio",1.0,50.1,8.0,64.3,506,15.9,8.6,4.5,23.2,50.1,Ohio University,11th overall,1st round,Milwaukee Bucks,1995,6-8,"Hamilton Township in Columbus, Ohio",Gary Trent,Small Forward and Power Forward and Center,Right,250lb,11,1,2,32,11890004,9,1321111.5555555555,1916
4180,trepaje01,"July 11, 1979","Los Angeles, California",0.7,33.7,46.2,70.0,31,9.5,2.8,1.4,-0.2,36.6,University of Southern California,36th overall,2nd round,Cleveland Cavaliers,2001,6-4,"Compton in Compton, California",Jeff Trepagnier,Shooting Guard,Left,200lb,36,2,35,4,1012678,2,506339.0,1917
4184,tripuke01,"February 16, 1959","Glen Ridge, New Jersey",3.0,47.3,36.1,84.9,707,16.2,17.2,3.8,44.4,48.2,University of Notre Dame,12th overall,1st round,Detroit Pistons,1981,6-6,"Bloomfield in Bloomfield, New Jersey",Kelly Tripucka,Small Forward,Right,220lb,12,1,10,9,5860320,6,976720.0,1918
4187,tsakaja01,"June 10, 1979","Rustavi, Georgia",0.3,49.0,0.0,65.7,315,11.8,4.8,3.9,9.9,49.0,,25th overall,1st round,Phoenix Suns,2000,7-2,,Jake Tsakalidis,Center,Right,285lb,25,1,14,2,13282128,7,1897446.857142857,1919
4190,tskitni01,"April 14, 1983","Tbilisi, Georgia",0.7,30.4,23.5,73.0,172,5.2,2.9,1.8,-1.6,33.8,,5th overall,1st round,Denver Nuggets,2002,7-0,,Nikoloz Tskitishvili,Small Forward and Power Forward,Right,225lb,5,1,3,6,9285129,4,2321282.25,1920
4192,tuckeal02,"February 11, 1984","Lockport, Illinois",0.3,42.3,29.4,78.3,51,13.0,4.1,1.0,0.4,45.1,University of Wisconsin,29th overall,1st round,Phoenix Suns,2007,6-6,"Township in Lockport, Illinois",Alando Tucker,Small Forward and Shooting Guard,Right,205lb,29,1,14,16,3132927,3,1044309.0,1921
4193,tuckean01,"April 4, 1969","Washington, District of Columbia",1.1,45.7,0.0,61.4,62,9.2,3.9,2.7,0.6,45.7,"Georgetown University, Wake Forest University",,,,,6-8,"McKinley in Washington, District of Columbia",Anthony Tucker,Small Forward,Right,220lb,0,0,-1,9,390896,2,195448.0,1922
4195,tuckepj01,"May 5, 1985","Raleigh, North Carolina",1.4,42.2,36.1,74.4,582,10.9,7.4,5.7,30.0,50.1,University of Texas at Austin,35th overall,2nd round,Toronto Raptors,2006,6-6,"Enloe in Raleigh, North Carolina",P.J. Tucker,Small Forward and Shooting Guard and Power Forward,Right,245lb,35,2,13,29,27257738,7,3893962.5714285714,1923
4196,tucketr01,"December 20, 1959","Tarboro, North Carolina",2.0,46.1,40.8,75.4,756,12.9,8.2,2.0,34.3,51.2,University of Minnesota,6th overall,1st round,New York Knicks,1982,6-5,"Flint Northwestern in Flint, Michigan",Trent Tucker,Shooting Guard,Right,193lb,6,1,11,4,3748435,8,468554.375,1924
4197,turiaro01,"January 13, 1983","Le Robert, Martinique",1.3,53.3,0.0,63.6,473,13.8,4.7,3.7,19.2,53.3,Gonzaga University,37th overall,2nd round,Los Angeles Lakers,2005,6-10,"Institut National du Sport et de l'Education Physique in Paris, France",Ronny Turiaf,Center,Right,249lb,37,2,6,2,23538396,9,2615377.3333333335,1925
4198,turkcmi01,"June 7, 1976","Novi Pazar, Serbia",0.3,36.8,0.0,62.5,17,11.1,1.9,1.9,0.0,36.8,,18th overall,1st round,Houston Rockets,1998,6-9,,Mirsad Turkcan,Power Forward,Right,236lb,18,1,41,0,2751438,3,917146.0,1926
4199,turkohe01,"March 19, 1979","Istanbul, Turkey",2.8,42.6,38.4,78.4,997,14.3,11.1,4.0,63.3,49.5,,16th overall,1st round,Sacramento Kings,2000,6-10,,Hedo Turkoglu,Power Forward and Small Forward,Right,220lb,16,1,4,10,94396751,15,6293116.733333333,1927
4200,turnean01,"December 13, 1964","Memphis, Tennessee",3.1,42.2,23.7,76.4,170,12.0,4.5,1.5,1.8,43.2,University of Memphis,69th overall,3rd round,Los Angeles Lakers,1986,5-11,"Mitchell in Memphis, Tennessee",Andre Turner,Point Guard,Right,160lb,6,3,6,3,474286,4,118571.5,1928
4202,turneel01,"June 10, 1959","Knoxville, Tennessee",1.8,43.2,15.2,71.4,505,9.6,4.7,2.7,8.5,43.3,University of Mississippi,43rd overall,2nd round,Dallas Mavericks,1981,6-5,"Austin-East in Knoxville, Tennessee",Elston Turner,Small Forward and Shooting Guard,Right,190lb,43,2,12,16,443015,3,147671.66666666666,1929
4203,turneev01,"October 27, 1988","Chicago, Illinois",3.5,43.5,29.6,78.1,686,12.0,9.9,4.7,20.5,45.6,Ohio State University,2nd overall,1st round,Philadelphia 76ers,2010,6-7,"St. Joseph in Westchester, Illinois",Evan Turner,Small Forward and Shooting Guard and Point Guard,Right,220lb,2,1,31,31,64369335,8,8046166.875,1930
4205,turnehe02,"August 18, 1966","Oakland, California",0.4,45.3,25.0,60.0,66,13.7,3.4,1.2,0.4,45.8,"California State University, Fullerton",,,,,6-7,"Fremont in Oakland, California",Henry Turner,Power Forward,Right,200lb,0,0,-1,0,187630,1,187630.0,1931
4209,turneje01,"April 9, 1962","Bangor, Maine",1.0,46.7,34.4,76.9,612,8.4,6.0,3.3,8.9,47.8,Vanderbilt University,17th overall,1st round,New Jersey Nets,1984,6-9,"Brandon in Brandon, Florida",Jeff Turner,Small Forward and Power Forward,Left,230lb,17,1,16,6,4596942,7,656706.0,1932
4211,turnemy01,"March 24, 1996","Bedford, Texas",1.2,49.5,36.3,77.1,280,17.4,12.9,6.7,22.1,52.6,University of Texas at Austin,11th overall,1st round,Indiana Pacers,2015,6-11,"Trinity in Euless, Texas",Myles Turner,Center,Right,250lb,11,1,37,2,7704855,3,2568285.0,1933
4213,turpime01,"December 28, 1960","Lexington, Kentucky",0.5,51.6,11.1,77.7,361,14.3,8.5,4.6,13.7,51.6,University of Kentucky,6th overall,1st round,Washington Bullets,1984,6-11,"Bryan Station in Lexington, Kentucky",Melvin Turpin,Center,Right,240lb,6,1,36,2,1782488,3,594162.6666666666,1934
4216,tylerbj01,"April 30, 1971","Galveston, Texas",3.2,38.1,31.4,70.0,55,8.5,3.5,1.1,-0.7,42.3,"DePaul University, University of Texas at Austin",20th overall,1st round,Philadelphia 76ers,1994,6-1,"Lincoln in Port Arthur, Texas",B.J. Tyler,Point Guard,Right,185lb,20,1,31,3,7114317,6,1185719.5,1935
4217,tylerje01,"June 21, 1991","San Diego, California",0.2,45.0,0.0,55.7,104,11.1,3.6,2.6,0.3,45.0,,39th overall,2nd round,Charlotte Bobcats,2011,6-10,"San Diego in San Diego, California",Jeremy Tyler,Center,Right,260lb,39,2,20,2,2498077,4,624519.25,1936
4218,tylerte01,"October 30, 1956","Detroit, Michigan",1.2,48.4,12.2,70.3,871,14.6,10.2,5.4,40.8,48.5,University of Detroit Mercy,23rd overall,2nd round,Detroit Pistons,1978,6-7,"Northwestern in Detroit, Michigan",Terry Tyler,Power Forward and Small Forward,Right,215lb,23,2,10,10,1782488,4,445622.0,1937
4221,udohek01,"May 20, 1987","Edmond, Oklahoma",0.7,45.3,0.0,71.8,384,12.0,3.5,2.9,10.4,45.3,"University of Michigan, Baylor University",6th overall,1st round,Golden State Warriors,2010,6-10,"Sante Fe in Edmond, Oklahoma",Ekpe Udoh,Power Forward and Center,Right,245lb,6,1,26,1,19321254,6,3220209.0,1938
4222,udokaim01,"August 9, 1977","Portland, Oregon",1.0,41.7,35.6,70.5,316,10.8,5.2,2.9,8.8,49.2,"University of San Francisco, Portland State University",,,,,6-6,"Jefferson in Portland, Oregon",Ime Udoka,Shooting Guard and Power Forward and Small Forward,Right,215lb,0,0,-1,39,4093278,5,818655.6,1939
4223,udrihbe01,"July 5, 1982","Celje, Slovenia",3.4,46.3,34.9,83.3,831,14.0,8.4,2.1,31.4,50.2,,28th overall,1st round,San Antonio Spurs,2004,6-3,,Beno Udrih,Shooting Guard and Point Guard,Left,205lb,28,1,24,13,46635585,15,3109039.0,1940
4224,ukicro01,"May 12, 1984","Split, Croatia",1.9,38.7,18.9,74.6,85,10.0,4.0,0.9,-0.2,40.7,,41st overall,2nd round,Toronto Raptors,2005,6-5,,Roko Ukic,Point Guard,Right,183lb,41,2,13,3,1619075,2,809537.5,1941
4225,ulisty01,"January 5, 1996","Southfield, Michigan",4.0,40.3,28.0,80.8,133,11.3,7.5,1.7,0.5,43.5,University of Kentucky,34th overall,2nd round,Phoenix Suns,2016,5-10,"Marian Catholic in Chicago Heights, Illinois",Tyler Ulis,Point Guard,Right,160lb,34,2,14,3,2325553,2,1162776.5,1942
4228,upshake01,"January 24, 1963","Chicago, Illinois",2.1,45.3,23.7,79.5,120,13.1,5.4,1.2,1.6,46.5,University of Utah,,,,,6-2,"Marshall in Chicago, Illinois",Kelvin Upshaw,Shooting Guard,Right,180lb,0,0,-1,4,291868,2,145934.0,1943
4229,uthofja01,"May 19, 1993","Cedar Rapids, Iowa",1.0,42.1,33.3,71.4,9,13.9,4.4,2.4,0.2,46.1,University of Iowa,,,,,6-9,"Jefferson in Cedar Rapids, Iowa",Jarrod Uthoff,Power Forward,Right,221lb,0,0,-1,0,126497,3,42165.666666666664,1944
4230,uzohbe01,"March 19, 1988","Houston, Texas",2.2,39.5,33.3,58.7,60,13.0,4.0,2.1,0.7,40.1,University of Tulsa,,,,,6-3,"Warren in San Antonio, Texas",Ben Uzoh,Point Guard,Right,205lb,0,0,-1,3,557717,2,278858.5,1945
4232,valanjo01,"May 6, 1992","Utena, Lithuania",0.8,55.8,35.7,78.6,489,19.9,12.1,8.5,45.3,56.4,,5th overall,1st round,Toronto Raptors,2011,7-0,,Jonas Valanciunas,Center,Right,265lb,5,1,13,2,47257535,6,7876255.833333333,1946
4233,valenda01,"February 3, 1959","Chicago, Illinois",5.0,43.7,26.1,78.7,620,14.0,8.7,2.1,22.1,44.2,University of Kansas,16th overall,1st round,Portland Trail Blazers,1981,6-1,"Wichita Heights in Wichita, Kansas",Darnell Valentine,Shooting Guard and Point Guard,Right,183lb,16,1,0,13,1396802,6,232800.33333333334,1947
4234,valende01,"November 16, 1993","Lansing, Michigan",2.3,39.9,37.4,75.4,134,10.6,8.0,4.1,3.1,50.6,Michigan State University,14th overall,1st round,Chicago Bulls,2016,6-6,"Sexton in Lansing, Michigan",Denzel Valentine,Shooting Guard,Right,210lb,14,1,23,4,4459975,2,2229987.5,1948
4241,vanexni01,"November 27, 1971","Kenosha, Wisconsin",6.6,40.5,35.7,79.4,880,15.8,14.4,2.9,55.9,47.1,"Trinity Valley Community College, University of Cincinnati",37th overall,2nd round,Los Angeles Lakers,1993,6-1,"Saint Joseph's in Kenosha, Wisconsin",Nick Van Exel,Shooting Guard and Point Guard,Left,170lb,37,2,6,13,77563150,13,5966396.153846154,1949
4242,vanhoke01,"October 23, 1975","Fullerton, California",1.6,44.3,36.1,83.5,575,16.8,16.0,6.8,41.7,48.2,University of Utah,2nd overall,1st round,Philadelphia 76ers,1997,6-10,"Diamond Bar in Diamond Bar, California",Keith Van Horn,Power Forward and Small Forward,Right,220lb,2,1,31,10,92626918,10,9262691.8,1950
4246,vandelo01,"April 3, 1971","Valders, Wisconsin",0.1,21.4,0.0,75.0,15,1.8,0.6,0.4,-0.1,21.4,University of Wisconsin-Green Bay,,,,,6-8,"Valders in Valders, Wisconsin",Logan Vander Velden,Small Forward,Right,215lb,0,0,-1,9,208478,1,208478.0,1951
4249,vandeki01,"August 1, 1958","Wiesbaden, Germany",2.1,52.5,36.8,87.2,810,18.4,19.7,3.4,75.6,53.4,"University of California, Los Angeles",11th overall,1st round,Dallas Mavericks,1980,6-8,"Pacific Palisades in Pacific Palisades, California",Kiki Vandeweghe,Small Forward and Power Forward,Right,220lb,11,1,12,6,6105022,8,763127.75,1952
4250,vanosni01,"April 13, 1963","San Mateo, California",0.9,38.3,0.0,56.1,68,7.7,3.3,3.5,-0.1,38.3,Santa Clara University,32nd overall,2nd round,Phoenix Suns,1985,7-1,"Hillsdale in San Mateo, California",Nick Vanos,Center,Right,255lb,32,2,14,2,130298,1,130298.0,1953
4252,vanvlfr01,"February 25, 1994","Rockford, Illinois",3.3,41.2,39.4,83.6,177,14.4,8.3,2.2,9.2,50.4,Wichita State University,,,,,6-0,"Auburn in Rockford, Illinois",Fred VanVleet,Point Guard,Right,195lb,0,0,-1,3,1934763,2,967381.5,1954
4254,varejan01,"September 28, 1982","Santa Teresa, Brazil",1.2,51.0,2.4,63.1,627,15.6,7.3,7.2,46.4,51.1,,30th overall,2nd round,Orlando Magic,2004,6-10,,Anderson Varejao,Power Forward and Center,Right,273lb,30,2,25,1,80970840,16,5060677.5,1955
4256,vasqugr01,"January 16, 1987","Caracas, Venezuela",4.8,41.8,34.9,81.7,401,13.7,9.0,2.5,12.6,48.0,University of Maryland,28th overall,1st round,Memphis Grizzlies,2010,6-6,"Montrose Christian School in Rockville, Maryland",Greivis Vasquez,Point Guard and Shooting Guard,Right,217lb,28,1,17,14,23806978,7,3400996.8571428573,1956
4259,vaughda02,"March 23, 1973","Tulsa, Oklahoma",0.3,42.3,0.0,63.8,118,10.1,2.9,3.1,0.6,42.3,University of Memphis,25th overall,1st round,Orlando Magic,1995,6-9,"Whites Creek in Whites Creek, Tennessee",David Vaughn,Power Forward,Right,240lb,25,1,25,0,2388992,4,597248.0,1957
4260,vaughja01,"February 11, 1975","Los Angeles, California",2.5,42.9,35.2,77.9,776,10.1,4.5,1.3,15.4,44.5,University of Kansas,27th overall,1st round,Utah Jazz,1997,6-1,"John Muir in Pasadena, California",Jacque Vaughn,Shooting Guard and Point Guard,Right,190lb,27,1,28,13,11736996,12,978083.0,1958
4261,vaughra01,"August 16, 1996","Minneapolis, Minnesota",0.5,33.7,31.3,69.2,139,5.9,3.0,1.1,-0.6,42.4,"University of Nevada, Las Vegas",17th overall,1st round,Milwaukee Bucks,2015,6-6,"Findlay Prep in Henderson, Nevada",Rashad Vaughn,Shooting Guard,Right,202lb,17,1,2,4,5836740,4,1459185.0,1959
4263,vaughlo01,"February 27, 1968","Grand Rapids, Michigan",0.9,50.4,24.4,71.8,689,15.4,10.1,7.1,35.8,50.6,University of Michigan,13th overall,1st round,Los Angeles Clippers,1990,6-9,"East Kentwood in Kentwood, Michigan",Loy Vaught,Power Forward,Right,230lb,13,1,21,0,41444444,13,3188034.153846154,1960
4265,verhope01,"February 15, 1959","Hanford, California",0.5,50.5,25.0,68.9,282,10.3,3.5,2.3,5.2,50.5,"California State University, Fresno",85th overall,4th round,Portland Trail Blazers,1981,6-9,"Hanford in Hanford, California",Pete Verhoeven,Power Forward,Right,215lb,8,4,0,0,297081,2,148540.5,1961
4266,veselja01,"April 24, 1990","Ostrava, Czech Republic",0.6,52.1,0.0,40.8,162,10.9,3.6,3.5,4.0,52.1,,6th overall,1st round,Washington Wizards,2011,6-11,,Jan Vesely,Power Forward,Right,240lb,6,1,51,0,10112153,3,3370717.6666666665,1962
4267,vetragu01,"May 22, 1967","Ventspils, Latvia",0.5,47.5,100.0,66.7,13,13.6,3.5,0.6,0.1,51.3,,,,,,6-6,,Gundars Vetra,Small Forward,Right,195lb,0,0,-1,9,599374,2,299687.0,1963
4269,villach01,"August 24, 1984","Queens, New York",0.8,43.5,34.1,77.2,656,16.0,10.4,4.6,22.6,49.4,University of Connecticut,7th overall,1st round,Toronto Raptors,2005,6-11,"Blair Academy in Blairstown, New Jersey",Charlie Villanueva,Power Forward,Right,232lb,7,1,13,0,53764251,11,4887659.181818182,1964
4270,vinceja01,"June 10, 1959","Kalamazoo, Michigan",2.0,47.4,14.8,78.4,576,15.9,15.2,5.5,27.5,47.4,Michigan State University,24th overall,2nd round,Dallas Mavericks,1981,6-7,"Eastern in Lansing, Michigan",Jay Vincent,Power Forward and Small Forward,Right,220lb,24,2,12,10,1413714,4,353428.5,1965
4271,vincesa01,"May 18, 1963","Lansing, Michigan",3.9,44.9,18.2,86.3,396,14.1,7.8,2.1,10.9,45.2,Michigan State University,20th overall,1st round,Boston Celtics,1985,6-2,"Eastern in Lansing, Michigan",Sam Vincent,Point Guard and Shooting Guard,Right,185lb,20,1,19,14,4800209,6,800034.8333333334,1966
4272,vincima01,"May 31, 1984","Sao Paulo, Brazil",0.3,45.7,42.1,55.6,26,8.8,1.9,0.7,0.2,57.1,,43rd overall,2nd round,New Orleans/Oklahoma City Hornets,2006,6-8,,Marcus Vinicius,Small Forward,Right,225lb,43,2,42,9,1146811,2,573405.5,1967
4273,vinsofr01,"January 28, 1971","Murfreesboro, North Carolina",0.1,25.0,23.1,66.7,13,-2.0,1.3,0.1,-0.2,31.3,Georgia Institute of Technology,,,,,6-4,"Northampton County in East Conway, North Carolina",Fred Vinson,Shooting Guard,Right,190lb,0,0,-1,4,661917,2,330958.5,1968
4277,volkoal01,"March 28, 1964","Omsk, Russia",2.2,45.5,33.3,61.3,149,14.1,6.8,2.6,4.5,48.3,,134th overall,6th round,Atlanta Hawks,1986,6-10,,Alexander Volkov,Center,Right,218lb,13,6,34,2,1381168,2,690584.0,1969
4279,vonleno01,"August 24, 1995","Salem, Massachusetts",0.8,45.3,31.6,68.3,299,11.8,5.1,5.4,8.3,48.7,Indiana University,9th overall,1st round,Charlotte Hornets,2014,6-9,"New Hampton School in New Hampton, New Hampshire",Noah Vonleh,Power Forward,Right,250lb,9,1,55,0,11902557,4,2975639.25,1970
4280,voskuja01,"November 1, 1977","Tulsa, Oklahoma",0.5,48.7,33.3,71.4,450,10.8,4.0,3.4,11.6,48.8,University of Connecticut,33rd overall,2nd round,Chicago Bulls,2000,6-11,"Strake Jesuit College Prepatory in Houston, Texas",Jake Voskuhl,Center,Right,245lb,33,2,23,2,12843722,9,1427080.2222222222,1971
4281,vraneda01,"October 29, 1958","Salt Lake City, Utah",1.2,49.6,10.5,57.0,510,9.3,5.1,3.9,15.3,49.6,University of Utah,5th overall,1st round,Seattle SuperSonics,1981,6-7,"Skyline in Salt Lake City, Utah",Danny Vranes,Small Forward,Right,210lb,5,1,32,9,1885684,4,471421.0,1972
4285,vromaja01,"June 6, 1981","Laguna, California",0.6,40.8,0.0,58.0,87,8.2,3.3,3.0,0.0,40.8,Iowa State University,31st overall,2nd round,Chicago Bulls,2004,6-10,"Viewmont in Bountiful, Utah",Jackson Vroman,Center and Power Forward,Right,220lb,31,2,23,11,1112573,2,556286.5,1973
4286,vucevni01,"October 24, 1990","Morges, Switzerland",2.4,50.2,33.2,74.1,536,20.3,15.7,10.1,41.7,51.4,University of Southern California,16th overall,1st round,Philadelphia 76ers,2011,7-0,"Stoneridge Preparatory School in Simi Valley, California",Nikola Vucevic,Center,Right,260lb,16,1,31,2,45040661,7,6434380.142857143,1974
